type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,category
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,No,No,No,No,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,No,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,No,No,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Independent,Yes,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,Yes,QSR Independent
Treated,QSR,Independent,No,No,Yes,Yes,No,QSR Independent
Treated,QSR,Independent,Yes,No,No,No,Yes,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,Yes,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,Yes,QSR Independent
Treated,QSR,Independent,No,No,Yes,Yes,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,Yes,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,Yes,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,Yes,Yes,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,Yes,No,QSR Independent
Treated,QSR,Independent,No,No,No,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,Yes,Yes,QSR Independent
Treated,QSR,Independent,Yes,Yes,Yes,Yes,Yes,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,No,Yes,No,QSR Independent
Treated,QSR,Independent,No,Yes,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,Yes,Yes,No,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,Yes,No,QSR Independent
Treated,QSR,Independent,Yes,No,No,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,Yes,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,No,No,Yes,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,Yes,QSR Independent
Treated,QSR,Independent,No,No,No,No,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,Yes,Yes,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,Yes,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,No,No,Yes,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,Yes,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,Yes,QSR Independent
Treated,QSR,Independent,No,Yes,No,Yes,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,No,No,No,QSR Independent
Treated,QSR,Independent,No,No,No,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,Yes,Yes,QSR Independent
Treated,QSR,Independent,No,No,Yes,Yes,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,Yes,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,Yes,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,Yes,Yes,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,Yes,QSR Independent
Treated,QSR,Independent,No,No,No,Yes,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,No,No,No,Yes,No,QSR Independent
Treated,QSR,Independent,No,No,Yes,No,No,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,Yes,Yes,QSR Independent
Treated,QSR,Independent,Yes,No,Yes,No,Yes,QSR Independent
Treated,QSR,Independent,Yes,No,No,No,Yes,QSR Independent
Treated,FSR,Chain,Yes,No,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,Yes,No,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,Yes,Yes,No,No,FSR Chain
Treated,FSR,Chain,No,Yes,Yes,No,No,FSR Chain
Treated,FSR,Chain,Yes,No,No,No,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,Yes,No,FSR Chain
Treated,FSR,Chain,No,No,No,No,No,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,No,Yes,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,Yes,Yes,Yes,Yes,No,FSR Chain
Treated,FSR,Chain,Yes,Yes,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,Yes,Yes,No,No,FSR Chain
Treated,FSR,Chain,No,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,Yes,No,FSR Chain
Treated,FSR,Chain,No,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,Yes,No,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,No,No,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,No,No,FSR Chain
Treated,FSR,Chain,Yes,Yes,Yes,No,No,FSR Chain
Treated,FSR,Chain,Yes,Yes,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,No,No,Yes,Yes,FSR Chain
Treated,FSR,Chain,Yes,Yes,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,Yes,Yes,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,Yes,Yes,FSR Chain
Treated,FSR,Chain,No,Yes,Yes,No,Yes,FSR Chain
Treated,FSR,Chain,No,No,Yes,No,Yes,FSR Chain
Treated,FSR,Independent,Yes,No,No,Yes,No,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,No,Yes,No,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,No,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,No,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,Yes,No,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,Yes,No,No,Yes,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,No,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,No,No,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,No,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,No,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,No,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,No,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,No,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,No,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,Yes,No,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,Yes,No,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,No,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,No,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,No,No,No,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,No,No,No,FSR Independent
Treated,FSR,Independent,No,No,No,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,No,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,No,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,No,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,No,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,No,No,No,FSR Independent
Treated,FSR,Independent,No,Yes,No,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,Yes,No,No,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,No,No,Yes,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,No,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,No,FSR Independent
Treated,FSR,Independent,No,No,No,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,No,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,No,No,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,No,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,Yes,No,FSR Independent
Treated,FSR,Independent,Yes,Yes,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,Yes,No,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,Yes,Yes,Yes,Yes,FSR Independent
Treated,FSR,Independent,No,No,Yes,No,No,FSR Independent
